cdcid,RecordStatus,PrimaryMode,CAFC_1,IFSACLevel1_1,IFSACLevel2_1,IFSACLevel3_1,IFSACLevel4_1,IFSACLevel5_1,IFSACLevel6_1,IFSACLevel7_1,yearfirstill,monthfirstill,DateFirstIll,ExposureState,MultiStateExposure,MultiStateResidence,EstimatedPrimary,DeathsNum,DeathsInfo,HospitalNum,HospitalInfo,NumberLabConfirmed_1,NumberLabConfirmed_2,NumberLabConfirmed_3,NumberLabConfirmed_4,NumberLabConfirmed_5,NumberLabConfirmed_6,NumberLabConfirmed_7,NumberLabConfirmed_8,NumberLabConfirmed_9,NumberLabConfirmed_10,NumberLabConfirmed_11,NumberLabConfirmed_12,NumberLabConfirmed_13,Confirmed_1,GenusName_1,SerotypeName_1,SpeciesName_1,Confirmed_2,GenusName_2,SerotypeName_2,SpeciesName_2,Confirmed_3,GenusName_3,SerotypeName_3,SpeciesName_3,Confirmed_4,GenusName_4,SerotypeName_4,SpeciesName_4,Confirmed_5,GenusName_5,SerotypeName_5,SpeciesName_5,Confirmed_6,GenusName_6,SerotypeName_6,SpeciesName_6,Confirmed_7,GenusName_7,SerotypeName_7,SpeciesName_7,Confirmed_8,GenusName_8,SerotypeName_8,SpeciesName_8,Confirmed_9,GenusName_9,SerotypeName_9,SpeciesName_9,Confirmed_10,GenusName_10,SerotypeName_10,SpeciesName_10,Confirmed_11,GenusName_11,SerotypeName_11,SpeciesName_11,Confirmed_12,GenusName_12,SerotypeName_12,SpeciesName_12,Confirmed_13,GenusName_13,SerotypeName_13,SpeciesName_13,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10,State_11,State_12,State_13,State_14,State_15,State_16,State_17,State_18,State_19,State_20,State_21,State_22,State_23,State_24,State_25,State_26,State_27,State_28,State_29,State_30,State_31,State_32,State_33,State_34,State_35,State_36,State_37,State_38,State_39,State_40,State_41,State_42,State_43,State_44,State_45,State_46,State_47,State_48,State_49,State_50,WhereEatenName_1,WhereEatenName_2,WhereEatenName_3,WhereEatenName_4,WhereEatenName_5,WhereEatenName_6,WhereEatenName_7,WherePrepName_1,WherePrepName_2,WherePrepName_3,WherePrepName_4,WherePrepName_5,WherePrepName_6,WherePrepName_7,WherePrepName_8,FoodVehicleUndetermined,FoodImplicatedID_1,FoodImplicatedID_2,FoodImplicatedID_3,FoodImplicatedID_4,FoodImplicatedID_5,FoodImplicatedID_6,FoodImplicatedID_7,FoodImplicatedID_8,FoodImplicatedID_9,FoodImplicatedID_10,FoodImplicatedID_11,FoodImplicatedID_12,FoodImplicatedID_13,FoodImplicatedID_14,FoodImplicatedID_15,FoodImplicatedID_16,FoodImplicatedID_17,FoodImplicatedID_18,ContaminatedIngredientName_1_1,ContaminatedIngredientName_2_1,ContaminatedIngredientName_3_1,ContaminatedIngredientName_4_1,ContaminatedIngredientName_5_1,ContaminatedIngredientName_6_1,ContaminatedIngredientName_7_1,ContaminatedIngredientName_8_1,ContaminatedIngredientName_9_1,ContaminatedIngredientName_10_1,FoodConfirmed_1,FoodName_1,ContaminatedIngredientName_1_2,ContaminatedIngredientName_2_2,ContaminatedIngredientName_3_2,ContaminatedIngredientName_4_2,ContaminatedIngredientName_5_2,ContaminatedIngredientName_6_2,ContaminatedIngredientName_7_2,ContaminatedIngredientName_8_2,ContaminatedIngredientName_9_2,ContaminatedIngredientName_10_2,FoodConfirmed_2,FoodName_2,ContaminatedIngredientName_1_3,ContaminatedIngredientName_2_3,ContaminatedIngredientName_3_3,ContaminatedIngredientName_4_3,ContaminatedIngredientName_5_3,ContaminatedIngredientName_6_3,ContaminatedIngredientName_7_3,ContaminatedIngredientName_8_3,ContaminatedIngredientName_9_3,ContaminatedIngredientName_10_3,FoodConfirmed_3,FoodName_3,ContaminatedIngredientName_1_4,ContaminatedIngredientName_2_4,ContaminatedIngredientName_3_4,ContaminatedIngredientName_4_4,ContaminatedIngredientName_5_4,ContaminatedIngredientName_6_4,ContaminatedIngredientName_7_4,ContaminatedIngredientName_8_4,ContaminatedIngredientName_9_4,ContaminatedIngredientName_10_4,FoodConfirmed_4,FoodName_4,ContaminatedIngredientName_1_5,ContaminatedIngredientName_2_5,ContaminatedIngredientName_3_5,ContaminatedIngredientName_4_5,ContaminatedIngredientName_5_5,ContaminatedIngredientName_6_5,ContaminatedIngredientName_7_5,ContaminatedIngredientName_8_5,ContaminatedIngredientName_9_5,ContaminatedIngredientName_10_5,FoodConfirmed_5,FoodName_5,ContaminatedIngredientName_1_6,ContaminatedIngredientName_2_6,ContaminatedIngredientName_3_6,ContaminatedIngredientName_4_6,ContaminatedIngredientName_5_6,ContaminatedIngredientName_6_6,ContaminatedIngredientName_7_6,ContaminatedIngredientName_8_6,ContaminatedIngredientName_9_6,ContaminatedIngredientName_10_6,FoodConfirmed_6,FoodName_6,ContaminatedIngredientName_1_7,ContaminatedIngredientName_2_7,ContaminatedIngredientName_3_7,ContaminatedIngredientName_4_7,ContaminatedIngredientName_5_7,ContaminatedIngredientName_6_7,ContaminatedIngredientName_7_7,ContaminatedIngredientName_8_7,ContaminatedIngredientName_9_7,ContaminatedIngredientName_10_7,FoodConfirmed_7,FoodName_7,ContaminatedIngredientName_1_8,ContaminatedIngredientName_2_8,ContaminatedIngredientName_3_8,ContaminatedIngredientName_4_8,ContaminatedIngredientName_5_8,ContaminatedIngredientName_6_8,ContaminatedIngredientName_7_8,ContaminatedIngredientName_8_8,ContaminatedIngredientName_9_8,ContaminatedIngredientName_10_8,FoodConfirmed_8,FoodName_8,ContaminatedIngredientName_1_9,ContaminatedIngredientName_2_9,ContaminatedIngredientName_3_9,ContaminatedIngredientName_4_9,ContaminatedIngredientName_5_9,ContaminatedIngredientName_6_9,ContaminatedIngredientName_7_9,ContaminatedIngredientName_8_9,ContaminatedIngredientName_9_9,ContaminatedIngredientName_10_9,FoodConfirmed_9,FoodName_9,ContaminatedIngredientName_1_10,ContaminatedIngredientName_2_10,ContaminatedIngredientName_3_10,ContaminatedIngredientName_4_10,ContaminatedIngredientName_5_10,ContaminatedIngredientName_6_10,ContaminatedIngredientName_7_10,ContaminatedIngredientName_8_10,ContaminatedIngredientName_9_10,ContaminatedIngredientName_10_10,FoodConfirmed_10,FoodName_10,ContaminatedIngredientName_1_11,ContaminatedIngredientName_2_11,ContaminatedIngredientName_3_11,ContaminatedIngredientName_4_11,ContaminatedIngredientName_5_11,ContaminatedIngredientName_6_11,ContaminatedIngredientName_7_11,ContaminatedIngredientName_8_11,ContaminatedIngredientName_9_11,ContaminatedIngredientName_10_11,FoodConfirmed_11,FoodName_11,ContaminatedIngredientName_1_12,ContaminatedIngredientName_2_12,ContaminatedIngredientName_3_12,ContaminatedIngredientName_4_12,ContaminatedIngredientName_5_12,ContaminatedIngredientName_6_12,ContaminatedIngredientName_7_12,ContaminatedIngredientName_8_12,ContaminatedIngredientName_9_12,ContaminatedIngredientName_10_12,FoodConfirmed_12,FoodName_12,ContaminatedIngredientName_1_13,ContaminatedIngredientName_2_13,ContaminatedIngredientName_3_13,ContaminatedIngredientName_4_13,ContaminatedIngredientName_5_13,ContaminatedIngredientName_6_13,ContaminatedIngredientName_7_13,ContaminatedIngredientName_8_13,ContaminatedIngredientName_9_13,ContaminatedIngredientName_10_13,FoodConfirmed_13,FoodName_13,ContaminatedIngredientName_1_14,ContaminatedIngredientName_2_14,ContaminatedIngredientName_3_14,ContaminatedIngredientName_4_14,ContaminatedIngredientName_5_14,ContaminatedIngredientName_6_14,ContaminatedIngredientName_7_14,ContaminatedIngredientName_8_14,ContaminatedIngredientName_9_14,ContaminatedIngredientName_10_14,FoodConfirmed_14,FoodName_14,ContaminatedIngredientName_1_15,ContaminatedIngredientName_2_15,ContaminatedIngredientName_3_15,ContaminatedIngredientName_4_15,ContaminatedIngredientName_5_15,ContaminatedIngredientName_6_15,ContaminatedIngredientName_7_15,ContaminatedIngredientName_8_15,ContaminatedIngredientName_9_15,ContaminatedIngredientName_10_15,FoodConfirmed_15,FoodName_15,ContaminatedIngredientName_1_16,ContaminatedIngredientName_2_16,ContaminatedIngredientName_3_16,ContaminatedIngredientName_4_16,ContaminatedIngredientName_5_16,ContaminatedIngredientName_6_16,ContaminatedIngredientName_7_16,ContaminatedIngredientName_8_16,ContaminatedIngredientName_9_16,ContaminatedIngredientName_10_16,FoodConfirmed_16,FoodName_16,ContaminatedIngredientName_1_17,ContaminatedIngredientName_2_17,ContaminatedIngredientName_3_17,ContaminatedIngredientName_4_17,ContaminatedIngredientName_5_17,ContaminatedIngredientName_6_17,ContaminatedIngredientName_7_17,ContaminatedIngredientName_8_17,ContaminatedIngredientName_9_17,ContaminatedIngredientName_10_17,FoodConfirmed_17,FoodName_17,ContaminatedIngredientName_1_18,ContaminatedIngredientName_2_18,ContaminatedIngredientName_3_18,ContaminatedIngredientName_4_18,ContaminatedIngredientName_5_18,ContaminatedIngredientName_6_18,ContaminatedIngredientName_7_18,ContaminatedIngredientName_8_18,ContaminatedIngredientName_9_18,ContaminatedIngredientName_10_18,FoodConfirmed_18,FoodName_18
55,Finalized,Food,,,,,,,,,2009,1,1/11/09 0:00,Illinois,0,0,7,0,7,2,7,7,,,,,,,,,,,,,Confirmed,Salmonella,Enteritidis,enterica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other (specify in 'where eaten remarks'),Private home/residence,,,,,,Grocery store,Other (specify in 'where prepared remarks'),,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Finalized,Food,,,,,,,,,2009,1,1/11/09 0:00,Massachusetts,0,0,5,0,5,0,5,5,,,,,,,,,,,,,Confirmed,Salmonella,Braenderup,enterica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restaurant - Sit-down dining,,,,,,,Restaurant - Sit-down dining,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Finalized,Food,,,,,,,,,2009,2,2/11/09 0:00,Massachusetts,0,0,2,0,2,0,1,2,,,,,,,,,,,,,Confirmed,Salmonella,"I 4,[5],12:i:-",enterica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Finalized,Food,,,,,,,,,2009,3,3/3/09 0:00,Illinois,0,0,6,0,6,0,6,6,,,,,,,,,,,,,Confirmed,Salmonella,Typhimurium,enterica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restaurant - Sit-down dining,,,,,,,Restaurant - Sit-down dining,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Finalized,Food,,,,,,,,,2009,3,3/12/09 0:00,Illinois,0,0,5,0,5,0,5,5,,,,,,,,,,,,,Confirmed,Salmonella,Enteritidis,enterica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grocery store,Private home/residence,,,,,,Grocery store,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Finalized,Food,,,,,,,,,2009,3,3/1/09 0:00,Arkansas,0,0,5,0,5,3,5,5,,,,,,,,,,,,,Confirmed,Salmonella,Typhimurium,enterica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Finalized,Food,Multiple,Multiple,,,,,,,2009,1,1/26/09 0:00,Connecticut,0,0,7,0,7,2,7,7,,,,,,,,,,,,,Confirmed,Salmonella,Enteritidis,enterica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private home/residence,,,,,,,Caterer (food prepared off-site from where served),Restaurant - Sit-down dining,,,,,,,0,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lasagna, vegetarian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Finalized,Food,,,,,,,,,2009,2,2/2/09 0:00,Connecticut,0,0,4,0,4,1,4,3,,,,,,,,,,,,,Confirmed,Salmonella,Typhimurium,enterica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fair, festival, other temp or mobile services",,,,,,,"Fair, festival, other temp or mobile services",Private home/residence,Restaurant - other or unknown type,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Finalized,Food,Other Meat,Land Animals,Meat-Poultry,Meat,Other Meat,Intact Raw,,,2009,4,4/10/09 0:00,New York,0,1,13,0,13,4,13,2,,,,,,,,,,,,,Confirmed,Salmonella,Enteritidis,enterica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,California,New Jersey,New York,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restaurant - Sit-down dining,,,,,,,Restaurant - Sit-down dining,,,,,,,,0,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lamb, chops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Finalized,Food,,,,,,,,,2009,3,3/7/09 0:00,Oklahoma,0,0,25,0,25,4,25,16,,,,,,,,,,,,,Confirmed,Salmonella,Enteritidis,enterica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Restaurant - Sit-down dining,,,,,,,Restaurant - Sit-down dining,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
